trip_id,trip_datetime,driver_id,vehicle_id,pickup_zone,dropoff_zone,distance_km,duration_min,fare_amount,payment,platform
T22000000,19/11/2025 08:39,DR-1013,VH-012,Airport,Suburbs,9.11,32.1,EUR 22.86,wallet,Direct
T22000001,06/08/2025 22:05,DR-1032,VH-010,Suburbs,East,5.82,22.5,EUR 16.39,wallet,CityHail
T22000002,18/08/2025 15:00,DR-1052,VH-010,Centre,Airport,6.14,20.0,EUR 16.06,card,Direct
T22000003,23/09/2025 03:59,DR-1014,VH-012,Suburbs,West,4.43,19.4,EUR 13.93,Card,RideGo
T22000004,30/08/2025 20:19,DR-1010,VH-026,East,Port,2.76,12.1,EUR 9.96,wallet,CityHail
T22000005,02/12/2025 01:03,DR-1053,VH-003,East,East,2.47,7.7,EUR 8.40,CASH,CityHail
T22000006,19/08/2025 13:09,DR-1039,VH-014,Airport,Port,6.81,27.5,EUR 18.93,cash,RideGo
T22000007,20/10/2025 12:03,DR-1050,VH-007,Port,West,13.27,47.6,EUR 31.99,CASH,CityHail
T22000008,02/09/2025 11:54,DR-1004,VH-032,Suburbs,Centre,6.49,20.7,EUR 16.66,CASH,RideGo
T22000009,30/08/2025 07:12,DR-1064,VH-017,East,East,1.89,9.2,EUR 8.15,wallet,RideGo
T22000010,25/09/2025 19:21,DR-1009,VH-026,Airport,Airport,11.33,56.0,EUR 32.11,Card,RideGo
T22000011,16/09/2025 15:06,DR-1006,VH-035,Airport,Suburbs,8.67,38.9,EUR 24.26,wallet,CityHail
T22000012,17/10/2025 08:35,DR-1065,VH-028,Airport,West,2.94,10.1,EUR 9.61,cash,Direct
T22000013,16/12/2025 05:23,DR-1006,VH-002,Airport,Airport,2.23,10.5,EUR 8.90,card,CityHail
T22000014,12/09/2025 04:23,DR-1040,VH-037, Centre ,East,1.7,8.9,EUR 7.85,CASH,CityHail
T22000015,13/07/2025 05:30,DR-1010,VH-029,Port,West,8.13,38.4,EUR 23.50,cash,RideGo
T22000016,19/09/2025 16:54,DR-1015,VH-015,Airport,Suburbs,1.99,7.3,EUR 7.73,Card,CityHail
T22000017,14/09/2025 23:50,DR-1023,VH-002,West,West,9.11,44.1,EUR 26.22,wallet,CityHail
T22000018,29/08/2025 12:40,DR-1005,VH-020,Centre,East,8.19,36.7,EUR 23.09,card,RideGo
T22000019,24/11/2025 07:33,DR-1021,VH-015, North ,Airport,4.46,17.8,EUR 13.51,cash,RideGo
T22000020,09/12/2025 14:58,DR-1034,VH-019,North,West,5.34,23.9,EUR 16.23,Card,RideGo
T22000021,14/09/2025 15:06,DR-1007,VH-024, West ,Airport,18.77,72.3,EUR 45.23,cash,RideGo
T22000022,16/08/2025 16:02,DR-1026,VH-018,West,North,1.56,10.1,EUR 8.02,card,RideGo
T22000023,05/12/2025 09:43,DR-1063,VH-024, Airport ,Suburbs,3.88,13.4,EUR 11.61,wallet,RideGo
T22000024,28/11/2025 10:17,DR-1051,VH-017, East ,Port,2.42,14.7,EUR 10.30,card,CityHail
T22000025,17/07/2025 02:11,DR-1027,VH-035,Centre,Suburbs,3.24,11.2,EUR 10.26,card,CityHail
T22000026,02/07/2025 13:36,DR-1007,VH-014,Port,North,2.35,10.1,EUR 8.93,card,CityHail
T22000027,30/10/2025 16:01,DR-1020,VH-002, Centre ,Port,3.58,13.0,EUR 11.16,CASH,RideGo
T22000028,16/09/2025 22:32,DR-1038,VH-007,Centre,North,10.19,43.9,EUR 27.41,wallet,RideGo
T22000029,09/11/2025 04:43,DR-1049,VH-018,West,Suburbs,11.12,52.1,EUR 30.78,CASH,RideGo
T22000030,08/11/2025 23:01,DR-1001,VH-034, Suburbs ,West,12.07,42.1,EUR 29.07,CASH,RideGo
T22000031,23/10/2025 18:29,DR-1032,VH-026,Suburbs,Airport,7.34,28.8,EUR 19.90,card,RideGo
T22000032,03/08/2025 05:21,DR-1034,VH-026,Centre,Airport,1.81,9.6,EUR 8.17,wallet,CityHail
